"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047965","SANTA ROSA, CA US","2011-01-12","57","40","57"
"USC00047965","SANTA ROSA, CA US","2011-01-13","58","44","54"
"USC00047965","SANTA ROSA, CA US","2011-01-14","60","44","67"
"USC00047965","SANTA ROSA, CA US","2011-01-15","70","41","70"
"USC00047965","SANTA ROSA, CA US","2011-01-16","61","41","61"
"USC00047965","SANTA ROSA, CA US","2011-01-17","65","39","63"
"USC00047965","SANTA ROSA, CA US","2011-01-18","69","39","66"
"USC00047965","SANTA ROSA, CA US","2011-01-19","71","45","70"
"USC00047965","SANTA ROSA, CA US","2011-01-20","68","34","65"
"USC00047965","SANTA ROSA, CA US","2011-01-21","70","34","67"
"USC00047965","SANTA ROSA, CA US","2011-01-22","74","38","73"
"USC00047965","SANTA ROSA, CA US","2011-01-23","70","34","67"
"USC00047965","SANTA ROSA, CA US","2011-01-24","71","32","65"
"USC00047965","SANTA ROSA, CA US","2011-01-25","68","36","65"
"USC00047965","SANTA ROSA, CA US","2011-01-26","66","32","62"
"USC00047965","SANTA ROSA, CA US","2011-01-27","67","33","67"
"USC00047965","SANTA ROSA, CA US","2011-01-28","68","35","54"
"USC00047965","SANTA ROSA, CA US","2011-01-29","54","40","53"
"USC00047965","SANTA ROSA, CA US","2011-01-30","58","47","55"
"USC00047965","SANTA ROSA, CA US","2011-01-31","66","34","61"
"USC00047965","SANTA ROSA, CA US","2011-02-01","70","35","67"
"USC00047965","SANTA ROSA, CA US","2011-02-02","69","43","64"
"USC00047965","SANTA ROSA, CA US","2011-02-03","66","29","65"
"USC00047965","SANTA ROSA, CA US","2011-02-04","71","29","68"
"USC00047965","SANTA ROSA, CA US","2011-02-05","80","35","78"
"USC00047965","SANTA ROSA, CA US","2011-02-06","83","42","81"
"USC00047965","SANTA ROSA, CA US","2011-02-07","77","42","73"
"USC00047965","SANTA ROSA, CA US","2011-02-08","65","38","62"
"USC00047965","SANTA ROSA, CA US","2011-02-09","67","33","65"
"USC00047965","SANTA ROSA, CA US","2011-02-10","69","30","57"
"USC00047965","SANTA ROSA, CA US","2011-02-11","70","29","69"
"USC00047965","SANTA ROSA, CA US","2011-02-12","71","29","67"
"USC00047965","SANTA ROSA, CA US","2011-02-13","66","35","58"
"USC00047965","SANTA ROSA, CA US","2011-02-14","58","36","52"
"USC00047965","SANTA ROSA, CA US","2011-02-15","56","46","53"
"USC00047965","SANTA ROSA, CA US","2011-02-16","56","39","48"
"USC00047965","SANTA ROSA, CA US","2011-02-17","50","38","45"
"USC00047965","SANTA ROSA, CA US","2011-02-18","44","30","42"
"USC00047965","SANTA ROSA, CA US","2011-02-19","47","35","43"
"USC00047965","SANTA ROSA, CA US","2011-02-20","55","30","51"
"USC00047965","SANTA ROSA, CA US","2011-02-21","52","34","50"
"USC00047965","SANTA ROSA, CA US","2011-02-22","61","26","58"
"USC00047965","SANTA ROSA, CA US","2011-02-23","59","33","58"
"USC00047965","SANTA ROSA, CA US","2011-02-24","50","34","47"
"USC00047965","SANTA ROSA, CA US","2011-02-25","52","35","48"
"USC00047965","SANTA ROSA, CA US","2011-02-26","54","24","48"
"USC00047965","SANTA ROSA, CA US","2011-02-27","57","29","56"
"USC00047965","SANTA ROSA, CA US","2011-02-28","56","38","53"
"USC00047965","SANTA ROSA, CA US","2011-03-01","61","32","59"
"USC00047965","SANTA ROSA, CA US","2011-03-02","60","45","60"
"USC00047965","SANTA ROSA, CA US","2011-03-03","65","41","62"
"USC00047965","SANTA ROSA, CA US","2011-03-04","64","35","61"
